season,game_id,game_date,game_date_display,team,opponent,team_score,opponent_score,result,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,tov,stl,blk,fouls,team_minutes,poss,opp_poss,fg_pct,fg2_pct,fg3_pct,ft_pct,efg_pct,ts_pct,tov_pct,oreb_pct,dreb_pct,ft_rate,three_pt_rate,two_pt_rate,assist_rate,off_rating,def_rating,net_rating,pace,pts,opp_oreb,opp_dreb
2026,2026-06-13_alameda_wolves_vs_oakland_swish,2026-06-13,"Jun 13, 2026",Alameda Wolves,Oakland Swish,68,65,W,22,71,14,41,8,30,16,19,12,34,46,13,12,7,5,10,199.933,79.36,83.04,0.30985915492957744,0.34146341463414637,0.26666666666666666,0.8421052631578947,0.36619718309859156,0.4284274193548387,0.15120967741935484,0.26666666666666666,0.723404255319149,0.2676056338028169,0.4225352112676056,0.5774647887323944,0.5909090909090909,85.68548387096774,78.27552986512524,7.409954005842508,15.877318901832114,68,13,33
2026,2026-06-13_alameda_wolves_vs_oakland_swish,2026-06-13,"Jun 13, 2026",Oakland Swish,Alameda Wolves,65,68,L,26,75,22,44,4,31,9,16,13,33,46,16,14,9,6,12,199.934,83.04,79.36,0.3466666666666667,0.5,0.12903225806451613,0.5625,0.37333333333333335,0.3961482203803023,0.16859344894026973,0.2765957446808511,0.7333333333333333,0.21333333333333335,0.41333333333333333,0.5866666666666667,0.6153846153846154,78.27552986512524,85.68548387096774,-7.409954005842508,16.61348244920824,65,12,34
2026,2026-06-13_bay_area_phoenix_vs_bay_city_blaze,2026-06-13,"Jun 13, 2026",Bay Area Phoenix,Bay City Blaze,71,102,L,25,88,21,67,4,21,17,22,21,21,42,10,22,17,0,15,201.367,98.68,91.92,0.2840909090909091,0.31343283582089554,0.19047619047619047,0.7727272727272727,0.3068181818181818,0.3634316134316134,0.2229428455614106,0.40384615384615385,0.6363636363636364,0.25,0.23863636363636365,0.7613636363636364,0.4,71.9497365220916,110.96605744125326,-39.01632091916166,19.602020191987766,71,12,31
2026,2026-06-13_bay_area_phoenix_vs_bay_city_blaze,2026-06-13,"Jun 13, 2026",Bay City Blaze,Bay Area Phoenix,102,71,W,39,75,31,47,8,28,16,18,12,31,43,22,21,17,5,15,201.699,91.92,98.68,0.52,0.6595744680851063,0.2857142857142857,0.8888888888888888,0.5733333333333334,0.6150506512301013,0.22845953002610966,0.36363636363636365,0.5961538461538461,0.24,0.37333333333333335,0.6266666666666667,0.5641025641025641,110.96605744125326,71.9497365220916,39.01632091916166,18.229143426591108,102,21,21
2026,2026-06-13_sf_riptide_vs_hayward_reign,2026-06-13,"Jun 13, 2026",Hayward Reign,SF Riptide,74,77,L,23,66,13,35,10,31,18,27,8,19,27,12,17,11,0,23,249.93099999999998,86.88,82.64,0.3484848484848485,0.37142857142857144,0.3225806451612903,0.6666666666666666,0.42424242424242425,0.47508988186954293,0.19567219152854512,0.18604651162790697,0.5588235294117647,0.4090909090909091,0.4696969696969697,0.5303030303030303,0.5217391304347826,85.17495395948434,93.17521781219749,-8.000263852713147,13.90463767999968,74,15,35
2026,2026-06-13_sf_riptide_vs_hayward_reign,2026-06-13,"Jun 13, 2026",SF Riptide,Hayward Reign,77,74,W,24,61,20,42,4,19,25,31,15,35,50,10,23,12,0,23,249.917,82.64,86.88,0.39344262295081966,0.47619047619047616,0.21052631578947367,0.8064516129032258,0.4262295081967213,0.5158092175777064,0.2783155856727977,0.4411764705882353,0.813953488372093,0.5081967213114754,0.3114754098360656,0.6885245901639344,0.4166666666666667,93.17521781219749,85.17495395948434,8.000263852713147,13.226791294709843,77,8,19
2026,2026-06-13_titans_vs_royals,2026-06-13,"Jun 13, 2026",Royals,Titans,85,72,W,32,80,22,52,10,28,11,17,9,31,40,22,10,16,3,21,200.116,88.48,83.56,0.4,0.4230769230769231,0.35714285714285715,0.6470588235294118,0.4625,0.4858253315043438,0.11301989150090415,0.21951219512195122,0.5961538461538461,0.2125,0.35,0.65,0.6875,96.06690777576853,86.16562948779321,9.901278287975316,17.6857422694837,85,21,32
2026,2026-06-13_titans_vs_royals,2026-06-13,"Jun 13, 2026",Titans,Royals,72,85,L,25,78,17,39,8,39,14,24,21,32,53,16,16,7,2,15,200.117,83.56,88.48,0.32051282051282054,0.4358974358974359,0.20512820512820512,0.5833333333333334,0.3717948717948718,0.4065040650406504,0.19147917663954045,0.40384615384615385,0.7804878048780488,0.3076923076923077,0.5,0.5,0.64,86.16562948779321,96.06690777576853,-9.901278287975316,16.70222919592039,72,9,31
2026,2026-06-14_bay_area_phoenix_vs_titans,2026-06-14,"Jun 14, 2026",Bay Area Phoenix,Titans,86,62,W,33,85,27,66,6,19,14,21,31,29,60,12,19,11,2,21,199.917,82.24,80.32,0.38823529411764707,0.4090909090909091,0.3157894736842105,0.6666666666666666,0.4235294117647059,0.4562818336162988,0.23103112840466927,0.7209302325581395,0.6444444444444445,0.24705882352941178,0.2235294117647059,0.7764705882352941,0.36363636363636365,104.57198443579767,77.19123505976097,27.380749376036704,16.454828753932883,86,16,12
2026,2026-06-14_bay_area_phoenix_vs_titans,2026-06-14,"Jun 14, 2026",Titans,Bay Area Phoenix,62,86,L,19,68,16,43,3,25,21,28,16,12,28,4,16,11,6,20,199.933,80.32,82.24,0.27941176470588236,0.37209302325581395,0.12,0.75,0.3014705882352941,0.3859561752988048,0.19920318725099603,0.35555555555555557,0.27906976744186046,0.4117647058823529,0.36764705882352944,0.6323529411764706,0.21052631578947367,77.19123505976097,104.57198443579767,-27.380749376036704,16.069383243386536,62,31,29
2026,2026-06-14_bay_city_blaze_vs_sf_riptide,2026-06-14,"Jun 14, 2026",Bay City Blaze,SF Riptide,98,65,W,37,80,25,47,12,33,12,15,17,30,47,20,21,11,5,12,199.917,90.6,84.4,0.4625,0.5319148936170213,0.36363636363636365,0.8,0.5375,0.5658198614318707,0.2317880794701987,0.4594594594594595,0.7692307692307693,0.1875,0.4125,0.5875,0.5405405405405406,108.16777041942605,77.01421800947867,31.15355240994738,18.127522922012634,98,9,20
2026,2026-06-14_bay_city_blaze_vs_sf_riptide,2026-06-14,"Jun 14, 2026",SF Riptide,Bay City Blaze,65,98,L,25,71,17,42,8,29,7,10,9,20,29,13,18,14,1,17,199.932,84.4,90.6,0.352112676056338,0.40476190476190477,0.27586206896551724,0.7,0.4084507042253521,0.43103448275862066,0.21327014218009477,0.23076923076923078,0.5405405405405406,0.14084507042253522,0.4084507042253521,0.5915492957746479,0.52,77.01421800947867,108.16777041942605,-31.15355240994738,16.88574115199168,65,17,30
2026,2026-06-14_hayward_reign_vs_alameda_wolves,2026-06-14,"Jun 14, 2026",Alameda Wolves,Hayward Reign,72,62,W,24,70,16,44,8,26,16,20,8,26,34,11,9,13,2,11,199.94899999999998,79.8,83.4,0.34285714285714286,0.36363636363636365,0.3076923076923077,0.8,0.4,0.4568527918781726,0.11278195488721805,0.21052631578947367,0.6842105263157895,0.2857142857142857,0.37142857142857144,0.6285714285714286,0.4583333333333333,90.22556390977444,74.34052757793765,15.885036331836787,15.964070838063707,72,12,30
2026,2026-06-14_hayward_reign_vs_alameda_wolves,2026-06-14,"Jun 14, 2026",Hayward Reign,Alameda Wolves,62,72,L,24,71,15,32,9,39,5,10,12,30,42,14,20,5,3,15,199.916,83.4,79.8,0.3380281690140845,0.46875,0.23076923076923078,0.5,0.4014084507042254,0.4111405835543766,0.2398081534772182,0.3157894736842105,0.7894736842105263,0.14084507042253522,0.5492957746478874,0.4507042253521127,0.5833333333333334,74.34052757793765,90.22556390977444,-15.885036331836787,16.68700854358831,62,8,26
2026,2026-06-14_royals_vs_oakland_swish,2026-06-14,"Jun 14, 2026",Oakland Swish,Royals,93,89,W,31,78,23,48,8,30,23,30,14,28,42,20,22,15,6,15,199.95,99.2,101.92,0.3974358974358974,0.4791666666666667,0.26666666666666666,0.7666666666666667,0.44871794871794873,0.5098684210526315,0.2217741935483871,0.2978723404255319,0.7567567567567568,0.38461538461538464,0.38461538461538464,0.6153846153846154,0.6451612903225806,93.75,87.32339089481947,6.426609105180532,19.84496124031008,93,9,33
2026,2026-06-14_royals_vs_oakland_swish,2026-06-14,"Jun 14, 2026",Royals,Oakland Swish,89,93,L,34,82,23,51,11,31,10,18,9,33,42,22,21,13,1,22,199.966,101.92,99.2,0.4146341463414634,0.45098039215686275,0.3548387096774194,0.5555555555555556,0.4817073170731707,0.49488434163701067,0.20604395604395603,0.24324324324324326,0.7021276595744681,0.21951219512195122,0.3780487804878049,0.6219512195121951,0.6470588235294118,87.32339089481947,93.75,-6.426609105180532,20.387465869197765,89,14,28
